num_ligne;annee;acad;nom_academie;dep;nom_departement;nb_coll_calcul;nb_coll_PU_calcul;nb_coll_PR_calcul;poids_prive_calcul;p_tfav;p_fav;p_moy;p_defav;p_tfav_pu;p_fav_pu;p_moy_pu;p_defav_pu;p_tfav_pr;p_fav_pr;p_moy_pr;p_defav_pr;i_entropie_tot;i_entropie_pu;i_entropie_pr;i_entropie_interPUPR;contrib_pu;contrib_pr;contrib_interPUPR
71;2015;43;MAYOTTE;;Ensemble de l'académie;11;11;0;0.0;7.1;5.9;17.3;69.7;7.1;5.9;17.3;69.7;NA;NA;NA;NA;0.059;0.059;NA;NA;100.0;NA;NA
121;2017;22;LIMOGES;;Ensemble de l'académie;86;77;9;10.4;18.8;13.3;31.2;36.6;16.6;13.0;31.8;38.6;38.2;16.6;25.9;19.3;0.047;0.035;0.034;0.012;66.4;7.7;25.9
171;2019;11;MONTPELLIER;;Ensemble de l'académie;254;198;56;17.8;21.3;11.7;33.5;33.5;18.4;10.8;32.9;37.9;34.6;15.7;36.4;13.4;0.075;0.056;0.059;0.02;59.9;13.8;26.2
257;2022;07;DIJON;;Ensemble de l'académie;181;157;24;14.4;20.0;14.1;29.0;36.9;17.2;13.7;28.8;40.3;36.9;16.2;30.2;16.8;0.048;0.032;0.039;0.016;54.8;11.5;33.7
298;2023;18;ORLEANS-TOURS;;Ensemble de l'académie;286;230;56;14.9;21.1;14.2;26.9;37.7;17.8;13.6;27.0;41.5;40;17.6;26.4;16;0.065;0.043;0.059;0.02;55.9;13.4;30.7
316;2024;06;CLERMONT-FERRAND;;Ensemble de l'académie;184;137;47;22.4;21.5;13.8;29.6;35.1;18.5;12.9;29.6;39.1;32;16.9;29.9;21.2;0.055;0.041;0.051;0.012;56.5;21;22.5
325;2024;15;STRASBOURG;;Ensemble de l'académie;172;148;24;15.3;24.0;13.0;22.6;40.4;19.7;12.4;22.9;44.9;47.9;16.1;21;14.9;0.077;0.053;0.038;0.028;56.7;7.2;36.1
406;2014;16;TOULOUSE;065;HAUTES-PYRENEES;26;20;6;18.9;17.9;13.6;37.0;31.4;17.3;12.6;35.6;34.5;20.7;18.1;43;18.2;0.03;0.02;0.03;0.008;54.4;18.7;26.9
439;2014;33;GUYANE;973;GUYANE;31;28;3;7.2;8.7;5.9;21.6;63.8;6.7;5.4;20.1;67.9;35.2;12.4;40.5;11.9;0.124;0.082;0.028;0.051;56.9;2;41.1
35;2014;27;CORSE;;Ensemble de l'académie;30;28;2;6.8;17.7;11.5;40.6;30.2;16.7;11.2;40.3;31.8;31.5;15.8;43.8;8.9;0.053;0.047;0.013;0.009;81.7;1.6;16.7
102;2017;01;PARIS;;Ensemble de l'académie;178;115;63;35.5;52.0;7.8;23.7;16.4;41.1;8.1;27.2;23.6;72;7.3;17.2;3.5;0.144;0.086;0.128;0.052;41.4;22.7;35.9
116;2017;16;TOULOUSE;;Ensemble de l'académie;318;239;79;18.4;26.5;14.3;29.5;29.7;24.5;13.7;29.1;32.7;35.3;17;31.1;16.6;0.071;0.057;0.094;0.008;64.4;24;11.7
