num_ligne;Année;Période d'observation;UAI;Nom de l'établissement;Académie;Code département;Libellé departement;Niveau;Numérateur H/E : nombre d’heures d’enseignement hebdomadaire devant élèves.;Dénominateur H/E : somme des élèves en division.;H/E;Numérateur E/S : nombre d’élèves d’une structure pondéré par le nombre d’heures d’enseignement dans cette structure;Dénominateur E/S : nombre d’heures d’enseignement hebdomadaire devant élèves.;E/S
6730.0;2023;Rentrée scolaire;0311265G;COLLEGE ROSA PARKS;TOULOUSE;031;HAUTE-GARONNE;Collège;708.8;500;1.42;14902.2;708.8;21.02
6805.0;2023;Rentrée scolaire;0312337X;COLLEGE FORAIN FRANCOIS VERDIER;TOULOUSE;031;HAUTE-GARONNE;Collège;908;860;1.06;23318.5;908;25.68
7678.0;2023;Rentrée scolaire;0851220P;COLLEGE JEAN MONNET;NANTES;085;VENDEE;Collège;683.5;641;1.07;17298.5;683.5;25.31
7745.0;2023;Rentrée scolaire;0180036S;LYCEE POLYVALENT HENRI BRISSON LYCEE DES METIERS DE L INDUSTRIE ET DES SCIENCES APPLIQUEES;ORLEANS-TOURS;018;CHER;Lycée professionnel;540.5;220;2.46;6747.5;540.5;12.48
7820.0;2023;Rentrée scolaire;0280753S;COLLEGE NICOLAS ROBERT;ORLEANS-TOURS;028;EURE-ET-LOIR;Collège;672.5;579;1.16;15819;672.5;23.52
7821.0;2023;Rentrée scolaire;0280755U;COLLEGE HELENE BOUCHER;ORLEANS-TOURS;028;EURE-ET-LOIR;Collège;930.5;853;1.09;23153;930.5;24.88
7874.0;2023;Rentrée scolaire;0360019A;LYCEE POLYVALENT GEORGE SAND;ORLEANS-TOURS;036;INDRE;Collège;31;15;2.07;465;31;15
7894.0;2023;Rentrée scolaire;0360050J;ETABLISSEMENT REGIONAL D ENSEIGNEMENT ADAPTE ERIC TABARLY;ORLEANS-TOURS;036;INDRE;Établissement régional d'enseignement adapté;606;143;4.24;7027.5;601;11.69
7933.0;2023;Rentrée scolaire;0370024A;COLLEGE PATRICK BAUDRY;ORLEANS-TOURS;037;INDRE-ET-LOIRE;Collège;207.9;122;1.7;3592.6;207.9;17.28
9000.0;2023;Rentrée scolaire;0190723H;COLLEGE GEORGES CABANIS;LIMOGES;019;CORREZE;Collège;517.8;472;1.1;12954.1;517.8;25.02
9039.0;2023;Rentrée scolaire;0230487E;COLLEGE MARTIN NADAUD;LIMOGES;023;CREUSE;Segpa;125;64;1.95;1810.5;125;14.48
9053.0;2023;Rentrée scolaire;0870008L;COLLEGE JEAN MONNET;LIMOGES;087;HAUTE-VIENNE;Collège;241;194;1.24;5494;241;22.8
9144.0;2023;Rentrée scolaire;0060013G;LYCEE GENERAL ET TECHNOLOGIQUE BRISTOL;NICE;006;ALPES-MARITIMES;Lycée général et technologique;1119.2;886;1.26;25975.5;1119.2;23.21
9160.0;2023;Rentrée scolaire;0060023T;LYCEE PROFESSIONNEL FRANCIS DE CROISSET;NICE;006;ALPES-MARITIMES;Lycée professionnel;1209;597;2.03;19190;1209;15.87
9164.0;2023;Rentrée scolaire;0060027X;LYCEE PROFESSIONNEL PIERRE ET MARIE CURIE LYCEE DES METIERS DE L ENSEIGNE DE LA SIGNALETIQUE ET DU DEVELOPPEMENT DURABLE;NICE;006;ALPES-MARITIMES;Lycée professionnel;568.5;258;2.2;8119;568.5;14.28
9172.0;2023;Rentrée scolaire;0060031B;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CALMETTE;NICE;006;ALPES-MARITIMES;Lycée général et technologique;1488.7;1273;1.17;37286.2;1488.7;25.05
9217.0;2023;Rentrée scolaire;0060842H;COLLEGE PIERRE BERTONE;NICE;006;ALPES-MARITIMES;Collège;723.5;730;0.99;19535.2;723.5;27
9226.0;2023;Rentrée scolaire;0061006L;COLLEGE HENRI MATISSE;NICE;006;ALPES-MARITIMES;Collège;1045.4;1057;0.99;27828.9;1045.4;26.62
9244.0;2023;Rentrée scolaire;0061238N;COLLEGE ANDRE MAUROIS;NICE;006;ALPES-MARITIMES;Collège;708.5;684;1.04;18423;708.5;26
9256.0;2023;Rentrée scolaire;0061342B;COLLEGE CAPRON;NICE;006;ALPES-MARITIMES;Collège;506.5;479;1.06;13431;506.5;26.52
9311.0;2023;Rentrée scolaire;0830007G;LYCEE POLYVALENT RAYNOUARD;NICE;083;VAR;Lycée général et technologique;1663.5;1395;1.19;45281.5;1663.5;27.22
9326.0;2023;Rentrée scolaire;0830032J;LYCEE POLYVALENT DE LORGUES THOMAS EDISON;NICE;083;VAR;Lycée professionnel;138;89;1.55;2641;138;19.14
9461.0;2023;Rentrée scolaire;0831646N;LYCEE POLYVALENT DU VAL D ARGENS;NICE;083;VAR;STS;155;50;3.1;1690;155;10.9
9478.0;2023;Rentrée scolaire;0770030P;COLLEGE JACQUES PREVERT;CRETEIL;077;SEINE-ET-MARNE;Collège;562.5;544;1.03;14111;562;25.11
9504.0;2023;Rentrée scolaire;0770926N;LYCEE GENERAL ET TECHNOLOGIQUE FRANCOIS COUPERIN;CRETEIL;077;SEINE-ET-MARNE;Lycée général et technologique;1372.2;1282;1.07;35386.8;1368.2;25.86
9517.0;2023;Rentrée scolaire;0770933W;LYCEE GENERAL ET TECHNOLOGIQUE JACQUES AMYOT;CRETEIL;077;SEINE-ET-MARNE;Lycée général et technologique;780.7;683;1.14;19232.8;779.2;24.68
9525.0;2023;Rentrée scolaire;0770938B;LYCEE POLYVALENT ANDRE MALRAUX;CRETEIL;077;SEINE-ET-MARNE;Lycée général et technologique;1254.6;985;1.27;34211.1;1254.6;27.27
9610.0;2023;Rentrée scolaire;0771620T;COLLEGE NICOLAS FOUQUET;CRETEIL;077;SEINE-ET-MARNE;Collège;856;797;1.07;22126.4;855.5;25.86
9614.0;2023;Rentrée scolaire;0771657H;COLLEGE ANCEAU DE GARLANDE;CRETEIL;077;SEINE-ET-MARNE;Collège;658;585;1.12;15521.5;656.5;23.64
