dep,moyenne,d1,d9,min,max,gini,facility
FR,9.668275699940775,1.43,22.51,1,225.61,0.48889797278048464,centre_sante
01,16.355619140245707,3.04,31.93,1,76.93,0.3913218361597333,centre_sante
02,12.840469532786038,2.28,26.59,1,46.59,0.41141149525529996,centre_sante
03,13.262256162272404,2.27,29.81,1,58.77,0.43792727507087215,centre_sante
04,18.798893937910098,1.97,42.99,1,112.69,0.47910554079112605,centre_sante
05,16.55765055712276,2.04,40.38,1,70.58,0.4837503500743972,centre_sante
06,7.798551875731124,1.21,17.05,1,225.61,0.5379281554104605,centre_sante
07,12.759982162950081,3.28,26.2,1,76.38,0.3771856549796697,centre_sante
08,11.795439986715634,2.57,24.93,1,53.41,0.4269659867665503,centre_sante
09,21.727289546779605,5.98,38.32,1,82.93,0.3336877235991907,centre_sante
10,12.856133196784905,2.03,30.2,1,53.58,0.4739562059095402,centre_sante
11,14.390634682373985,3.95,27.36,1,66.74,0.36506761149641176,centre_sante
12,10.253955139688227,1.94,22.24,1,55.71,0.42414780034285376,centre_sante
13,6.021263377421656,1.23,13.66,1,98.13,0.44982731823628347,centre_sante
14,11.500101815257876,2.14,22.62,1,45.52,0.3981286865776564,centre_sante
15,21.44304497585214,2.74,47.68,1,83.37,0.42314343597456977,centre_sante
16,10.758603668599433,2.06,20.12,1,36.96,0.36234892060325774,centre_sante
17,13.693453585007855,3.06,26.14,1,52.67,0.36542572376982563,centre_sante
18,14.011140844926105,2.35,28.23,1,59.09,0.42161624005946813,centre_sante
19,11.163824540803489,2.06,22.55,1,45.44,0.4053613063347722,centre_sante
21,12.256586291569528,2.16,26.45,1,69.52,0.4672770507518331,centre_sante
22,12.830139383280414,3.25,24,1,48.29,0.3567415390815748,centre_sante
23,24.460167106662265,4.05,44.159000000000084,1,66.45,0.3228539429084583,centre_sante
24,14.672418110690694,4.32,25.86,1,43.41,0.31203413965641924,centre_sante
25,8.954207420774782,1.88,19.82,1,41.15,0.43010984512191053,centre_sante
26,11.591212382061874,1.79,25.42,1,84.87,0.4960292108432265,centre_sante
27,12.923394597362694,2.75,24.4,1,37.61,0.355038218379336,centre_sante
28,12.396727783361355,2.6,25.349000000000235,1,46.65,0.3986258555427525,centre_sante
29,12.49630961519602,1.79,24.67,1,78.94,0.44270791023756895,centre_sante
2A,17.023795069014447,2.65,50.21,1,111.88,0.5491749415651113,centre_sante
2B,17.43089376004462,2.06,43.01,1,89.12,0.4850409211026875,centre_sante
30,10.268137992414388,1.89,20.33,1,69.35,0.40322581740210844,centre_sante
31,8.798219882267643,1.86,19.76,1,67.32,0.44005846832741813,centre_sante
32,17.018210397102376,2.57,29.72,1,50.61,0.34431123933592417,centre_sante
33,11.523880469620188,1.96,27.25,1,192.44,0.48086290918339,centre_sante
34,9.297682377428266,2.33,18.88,1,69.76,0.38638019246854466,centre_sante
35,10.516847236787193,2.25,19.95,1,34.23,0.36743878098330685,centre_sante
36,16.715739192898496,2.17,36.14200000000012,1,62.34,0.44472079973735235,centre_sante
37,9.909762994294244,1.83,20.56,1,48,0.4241735752232197,centre_sante
38,9.749700925874572,1.8,20.96,1,55.22,0.44074624963552084,centre_sante
39,12.176601246916208,2.25,22.99,1,58.45,0.3881450845689575,centre_sante
40,19.657371721806328,3.06,39.72,1,74.43,0.41029774704231947,centre_sante
41,10.55125201770937,2.33,20.19,1,43.21,0.3801118039406521,centre_sante
42,7.619030634697365,1.32,16.96,1,57.78,0.45910945550711185,centre_sante
43,14.632708627720135,2.62,30.97,1,63.15,0.4036419099392461,centre_sante
44,8.963822261190652,1.85,18.95,1,38.35,0.42272266214318543,centre_sante
45,13.303122124193942,2.52,32.41,1,55.4,0.45795519973966897,centre_sante
46,18.132425875513878,4,31.13,1,61.56,0.3105093330389996,centre_sante
47,11.031015843018677,2.08,23.2,1,50.91,0.42097941404608985,centre_sante
48,17.403725678287636,2.26,32.94,1,81.94,0.4085867933930729,centre_sante
49,9.914600040654358,1.91,20.36,1,49.19,0.40814209622020475,centre_sante
50,14.928953254080193,3.33,30.39,1,51.15,0.3855910783399984,centre_sante
51,9.286631051610645,1.6,22.46,1,44.06,0.478047071102545,centre_sante
52,15.510191997085434,2.61,29.44,1,46.09,0.38611555968594446,centre_sante
53,14.180409767502796,3.02,27.5,1,43.32,0.36777264912237995,centre_sante
54,10.657096448876356,2.22,23.39,1,58.29,0.4210708411933085,centre_sante
55,15.827750399374791,2.62,30.94,1,46.31,0.3785550782289153,centre_sante
56,12.246743378173258,3.24,22.77,1,41.63,0.34739621042739044,centre_sante
57,9.357379267504086,1.96,22.54,1,54.96,0.4608350614048616,centre_sante
58,18.995701604449287,2.36,43.09,1,66.04,0.4510787550792736,centre_sante
59,6.891716141072471,1.63,15.6,1,35.25,0.4353786393899265,centre_sante
60,11.676927450393908,2.7,23.21,1,42.66,0.3784089025252359,centre_sante
61,12.24462626889859,2.04,25.63,1,46.56,0.4075536683821914,centre_sante
62,9.916320457593226,1.67,25.25,1,48.5,0.5035945422509929,centre_sante
63,10.083274376265724,1.95,22.12,1,63.65,0.44135817736641464,centre_sante
64,12.301617842643413,2.54,29.57,1,92.55,0.4746146623429071,centre_sante
65,13.440291110944836,2.16,31.66,1,74.87,0.47786966043070916,centre_sante
66,12.4556357828161,2.08,27.1,1,96.42,0.5021907879172947,centre_sante
67,7.959539197369813,1.54,16.89,1,39.48,0.41602069735437225,centre_sante
68,7.839481263834364,1.48,17.9,1,44.08,0.45128019795065294,centre_sante
69,5.773538117900711,1,13.57,1,49.36,0.4810375705359171,centre_sante
70,10.259239175392386,2.4,19.48,1,45.22,0.366050959727903,centre_sante
71,12.67124103307986,2.33,25.95,1,50.76,0.4082661367975517,centre_sante
72,13.019253853086566,2.61,26.65,1,51.63,0.41682603177265987,centre_sante
73,18.00245102998623,2.46,47.63,1,122.03,0.5389712856075121,centre_sante
74,10.921519023507363,2.37,22.27,1,58.97,0.4108002543154262,centre_sante
75,1.683796634795765,1,2.98,1,15.38,0.27433722545205214,centre_sante
76,8.229476172396986,1.62,18.81,1,49.84,0.4649556853994057,centre_sante
77,9.43722213045408,1.91,23.01,1,47.82,0.4578414110380323,centre_sante
78,5.966787082731987,1.58,11.71,1,33.52,0.3766621531606721,centre_sante
79,16.261810733808634,3.68,30.08,1,42.77,0.34282145459129715,centre_sante
80,20.50382807677832,3.01,37.53,1,54.92,0.36049998297302877,centre_sante
81,10.340521409431163,1.82,22.2,1,105.37,0.4575462840714371,centre_sante
82,11.9274117554427,2.59,22.47,1,46.33,0.36071087932302365,centre_sante
83,9.261601679880906,1.93,20.05,1,61.5,0.4230256620675788,centre_sante
84,10.152291855223975,2.25,21.28,1,68.36,0.4324560781975657,centre_sante
85,10.099803782547042,2.55,16.95,1,65.73,0.3645033936839765,centre_sante
86,13.693080663826853,3.34,26.01,1,53.34,0.3523910686894399,centre_sante
87,9.150766770324301,1.82,18.52,1,50.49,0.4225428313241516,centre_sante
88,15.500029980928955,3.56,29.68,1,52.18,0.3585373224527349,centre_sante
89,15.437833158430863,2.8,28.74,1,63.06,0.3886067167466337,centre_sante
90,5.9722399220974225,1.91,10.98,1,21.83,0.34044551005394025,centre_sante
91,5.370822117410689,1.58,11.4,1,30.46,0.39184691508530684,centre_sante
92,2.033293610520547,1,3.63,1,17.24,0.30282576252692245,centre_sante
93,1.9636526092080846,1,3.34,1,9.83,0.2779581845981423,centre_sante
94,2.538339046459406,1,4.45,1,14.91,0.3279231532395251,centre_sante
95,4.057256515208113,1,7.92,1,36.57,0.39704921721275244,centre_sante
972,13.632859815218968,3.38,29.56,1,52.21,0.40961685873873377,centre_sante
974,15.26929085695567,3.98,29.64,1,73.63,0.378442230496508,centre_sante
FR,4.637164873309418,1,11.35,1,194.49,0.5099119225177846,ecole
01,6.580498419358639,1.24,13.47,1,65.69,0.43573500541145216,ecole
02,5.730761081156918,1.09,12.41,1,39.67,0.42410712558889724,ecole
03,5.417220063799092,1,12.43,1,50.18,0.47466919992827833,ecole
04,8.843027519341886,1.09,20.41,1,79.45,0.5183121604210059,ecole
05,8.6210970517525,1.5,19.92,1,70.18,0.4712308793681995,ecole
06,3.6712022866021266,1,6.25,1,194.49,0.5172841334820547,ecole
07,7.864713935914485,1.37,17.6,1,64.81,0.4569215533945092,ecole
08,8.425439639159531,1.43,17.53,1,41.62,0.44523649787052944,ecole
09,6.906609784940322,1.34,15.59,1,40.52,0.45097522982239374,ecole
10,6.218284213829321,1,15.96,1,30.21,0.4855197401260218,ecole
11,5.633399593835182,1,12.53,1,63.03,0.4861536772227961,ecole
12,13.83727102946221,1.97,28.77,1,66.8,0.4256669196197925,ecole
13,2.1968251173351057,1,4.08,1,89.64,0.34862787819905067,ecole
14,9.64570567486175,2.01,18.7,1,46.54,0.3981356077995553,ecole
15,16.720388271247554,3.88,32.74,1,59.31,0.37551978115475476,ecole
16,6.118753529493679,1.14,12.85,1,29.55,0.4128424176576103,ecole
17,5.161928273684502,1.12,10.8,1,42.98,0.409137174914716,ecole
18,5.655302561965688,1,13.1,1,51.2,0.472783698917428,ecole
19,8.518253927614474,1.37,18.75,1,45.94,0.44801161894236935,ecole
21,3.5800430416356224,1,9.01,1,49.64,0.4985068942622696,ecole
22,11.22093093057647,2.42,21.51,1,42.9,0.3593522448272564,ecole
23,8.768150185164815,1.31,17.5,1,37.28,0.4056348867792549,ecole
24,8.703099775540306,1.47,18.28,1,51.72,0.4173629243997445,ecole
25,5.060897661336248,1,12.71,1,32.07,0.48643571856568996,ecole
26,4.56654903005459,1,10.4,1,61.47,0.49268781741875106,ecole
27,5.442169845943755,1.06,11.03,1,35.08,0.40546063433412155,ecole
28,4.65943722232137,1,10.4,1,42.87,0.4459554381721876,ecole
29,9.046011774076723,1.94,17.5,1,78.79,0.43929033369793885,ecole
2A,8.526386013286894,1,22.75,1,98.94,0.6061841701054479,ecole
2B,7.069180285762511,1,19.74,1,60.52,0.5741687718734559,ecole
30,3.9006974244519603,1,9.01,1,48.97,0.44765985606035563,ecole
31,3.170074628940221,1,6.33,1,41.77,0.3899583455043396,ecole
32,7.440599286602887,1.23,15.29,1,34.42,0.419731987018818,ecole
33,4.317158921690587,1,9.05,1,190.29,0.4887893656287927,ecole
34,3.3971586754450795,1,7.04,1,76.51,0.41040808799476514,ecole
35,6.466223210542165,1.15,14.63,1,42.33,0.4694973355456606,ecole
36,6.130088768796769,1,14.49,1,31.7,0.4693518016775765,ecole
37,4.2044751344063425,1,9.51,1,44.34,0.4392196843226465,ecole
38,4.173684657821161,1,9.61,1,48.5,0.4520256701371179,ecole
39,6.623374910343414,1.11,13.9,1,31.53,0.41706627927815865,ecole
40,6.746767519922724,1.48,13.88,1,41.68,0.4219741442771888,ecole
