Code EPCI,Libellé de l’EPCI,Locataire du parc social,Locataire du secteur libre,Propriétaire occupant,Ensemble
200068047,CA Creil Sud Oise,"46,8","17,3","35,9",100
246200364,CA de Lens-Liévin,"41,1","12,2","46,7",100
200027548,CC des Savanes,"39,7","22,7","37,6",100
246200299,CA d'Hénin-Carvin,"36,5","12,9","50,6",100
200018653,CA Cap Excellence,"33,1","21,3","45,6",100
245700398,CC de Freyming-Merlebach,"32,1","17,4","50,5",100
200066876,CA de Châlons-en-Champagne,"31,3",18,"50,7",100
200067213,CU du Grand Reims,"31,1","24,7","44,2",100
200058782,CA de Saint-Quentin-en-Yvelines,"30,7","15,8","53,6",100
240200477,CA GrandSoissons Agglomération,"30,2","22,2","47,6",100
247600646,CC Caux-Austreberthe,"29,9",13,"57,1",100
245900428,CU de Dunkerque,"29,8","18,8","51,5",100
247600786,CA de la Région Dieppoise,"29,8","23,2",47,100
249500109,CA de Cergy-Pontoise,"29,8","21,7","48,5",100
200055655,CA Roissy Pays de France,"29,7","18,5","51,9",100
200023414,Métropole Rouen Normandie,"29,5","25,2","45,3",100
249740119,CA Intercommunale du Nord de la Réunion (CINOR),"28,8","36,9","34,3",100
200044618,CA Douaisis Agglo,"28,5",19,"52,5",100
247700057,CA Melun Val de Seine,"28,5","20,9","50,7",100
200043495,CA du Pays de Laon,"28,1","22,1","49,8",100
245901152,CC Cœur d'Ostrevent,"28,1","13,9",58,100
200041630,CA Ardenne Métropole,28,"21,3","50,7",100
200042935,CA Haut-Bugey Agglomération,28,"17,6","54,3",100
200084952,CU Le Havre Seine Métropole,"27,8","22,6","49,6",100
200059228,CA Grand Paris Sud Seine Essonne Sénart,"27,7",20,"52,3",100
200054781,Métropole du Grand Paris,"27,2","32,6","40,2",100
246200729,CA du Boulonnais,"27,1",23,"49,9",100
243800604,CA Porte de l'Isère (C.A.P.I),"26,7","19,1","54,2",100
200034718,"CC de Vitry, Champagne et Der","26,6","17,8","55,5",100
200059889,CU Grand Paris Seine et Oise,"26,1","18,9",55,100
200057958,CA Paris-Vallée de la Marne,26,"17,7","56,3",100
200043396,CA Maubeuge Val de Sambre,"25,9","19,9","54,2",100
248000531,CA Amiens Métropole,"25,9","32,5","41,6",100
200069250,CA Troyes Champagne Métropole,"25,7","22,3",52,100
200067999,CA du Beauvaisis,"25,4","24,3","50,3",100
245901160,CA Valenciennes Métropole,"25,4","24,2","50,4",100
200000545,CC des Portes de Romilly-sur-Seine,"25,3","19,5","55,2",100
249730037,CC de l'Ouest Guyanais,"25,1",37,"37,9",100
200090751,CA Grand Calais Terres et Mers,"24,8","23,5","51,7",100
244900015,CU Angers Loire Métropole,"24,8","27,7","47,5",100
249730045,CA du Centre Littoral,"24,8","36,7","38,5",100
243700754,Tours Métropole Val de Loire,"24,6","27,7","47,6",100
200057859,CA Cœur d'Essonne Agglomération,"24,4","17,2","58,5",100
247200132,CU Le Mans Métropole,"24,4","23,7","51,8",100
200067965,CA de la Région de Compiègne et de la Basse Automne,"24,2","26,5","49,3",100
247700107,CC Pays de Montereau,24,"19,8","56,3",100
245700372,CA de Forbach Porte de France,"23,9",22,"54,2",100
249500489,CC du Haut Val d'Oise,"23,9","18,8","57,3",100
