Code académie,Académie,Taux de migration nette
A01,Paris,"0,6"
A02,Aix-Marseille,1
A03,Besançon,"0,5"
A04,Bordeaux,"1,7"
A06,Clermont-Ferrand,"1,4"
A07,Dijon,"-0,1"
A08,Grenoble,"0,7"
A09,Lille,"0,2"
A10,Lyon,"0,7"
A11,Montpellier,"1,3"
A12,Nancy-Metz,0
A13,Poitiers,"1,1"
A14,Rennes,"1,6"
A15,Strasbourg,"0,9"
A16,Toulouse,"1,6"
A17,Nantes,"1,4"
A18,Orléans- Tours,"-0,5"
A19,Reims,"-0,1"
A20,Amiens,"-1,4"
A22,Limoges,"0,7"
A23,Nice,"1,1"
A24,Créteil,"-3,8"
A25,Versailles,"-3,1"
A27,Corse,"1,5"
A28,Réunion,"1,2"
A31,Martinique,"1,3"
A32,Guadeloupe,"0,5"
A33,Guyane,"-2,4"
A43,Mayotte,"-8,7"
A70,Normandie,"0,7"
