codgeo,libgeo,an,tx_evol_rpls
200000172,CC Faucigny - Glières,2019-2023,"2,30"
200000438,CC du Pays de Pontchâteau St-Gildas-des-Bois,2019-2023,"-0,20"
200000545,CC des Portes de Romilly sur Seine,2019-2023,"-0,40"
200000628,CC Rhône Lez Provence,2019-2023,"-2,90"
200000800,CC Coeur de Sologne,2019-2023,"-0,10"
200000925,CC de la Plaine Dijonnaise,2019-2023,"-0,10"
200000933,CC Sauldre et Sologne,2019-2023,"-0,70"
200004802,CC du Pays de Fayence,2019-2023,"0,00"
200005932,CC des Portes de Sologne,2019-2023,"0,40"
200005957,CC de la Région de Rambervillers,2019-2023,"-1,00"
200006682,"CA Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay",2019-2023,"-0,10"
200006716,CC du Nogentais,2019-2023,"-0,60"
200006930,CC du Haut Allier Margeride,2019-2023,"-0,50"
200006971,CC du Perche,2019-2023,"-0,70"
200007052,CC de la Marche Berrichonne,2019-2023,"-0,80"
200007177,CC Pays de Nérondes,2019-2023,"-0,60"
200010650,CA du Grand Dole,2019-2023,"0,10"
200010700,CA Caux Seine Agglo,2019-2023,"0,20"
200011773,CA Annemasse-Les Voirons-Agglomération,2019-2023,"2,40"
200011781,CC Portes du Berry entre Loire et Val d'Aubois,2019-2023,"-0,40"
200013050,CC Sauer-Pechelbronn,2019-2023,"-0,40"
200015162,CC de l'Oriente,2019-2023,"0,00"
200016905,CC du Pays de Lamastre,2019-2023,"-1,40"
200017341,CC Lodévois et Larzac,2019-2023,"-0,20"
200017846,CA Étampois Sud Essonne,2019-2023,"1,70"
200018083,CC de Desvres-Samer,2019-2023,"2,90"
200018166,CC Le Grésivaudan,2019-2023,"1,20"
200018406,CC du Romorantinais et du Monestois,2019-2023,"0,00"
200018521,CC du Val de Bouzanne,2019-2023,"-1,00"
200018653,CA CAP Excellence,2019-2023,"-0,40"
200022986,CC du Grand Pic Saint-Loup,2019-2023,"4,50"
200023075,CC du Pays de Maîche,2019-2023,"-0,80"
200023125,CC Les Portes Briardes Entre Villes et Forêts,2019-2023,"2,90"
200023240,CC Pays de Nemours,2019-2023,"0,50"
200023299,CC Coeur de Tarentaise,2019-2023,"0,00"
200023307,CA du Grand Villeneuvois,2019-2023,"0,70"
200023372,CC de la Vallée de Chamonix-Mont-Blanc,2019-2023,"0,20"
200023414,Métropole Rouen Normandie,2019-2023,"0,40"
200023620,CC de la Gascogne Toulousaine,2019-2023,"2,90"
200023737,CA du Grand Cahors,2019-2023,"1,50"
200023778,CA du Pays de Saint-Gilles-Croix-de-Vie,2019-2023,"7,30"
