academie,taux_reussite
Aix-Marseille,"90,6"
Amiens,"89,9"
Besançon,"89,9"
Bordeaux,"91,8"
Caen,91
Clermont-Ferrand,"92,5"
Corse,"92,9"
Créteil,"88,8"
Dijon,"91,6"
Grenoble,"93,6"
Lille,"90,3"
Limoges,"90,1"
Lyon,"90,5"
Montpellier,"90,4"
Nancy-Metz,"91,5"
Nantes,"93,3"
Nice,"90,4"
Orléans-Tours,"91,8"
Paris,"93,2"
Poitiers,"92,3"
Reims,"89,5"
Rennes,94
Rouen,"90,3"
Strasbourg,"92,9"
Toulouse,"92,8"
Versailles,"90,2"
Total France métro.,"91,3"
Guadeloupe,"90,6"
Guyane,"84,7"
Martinique,"88,7"
La Réunion,"92,5"
Mayotte,"63,8"
Total DOM,87
Total France métro. + DOM,"91,2"
